# L um,San 8K ,L um,San 20K ,L um,san carlos 50K,L um,san carlos 100K,L um,san carlos 200K mir&fir,L um,san 292K
7.47442E+01,2.97573E+01,1.14278E+02,,7.47442E+01,3.13579E+01,7.47442E+01,3.64505E+01,7.47442E+01,4.66919E+01,7.47442E+01,5.79723E+01
7.46098E+01,1.76006E+01,1.13964E+02,,7.46098E+01,1.87189E+01,7.46098E+01,2.44315E+01,7.46098E+01,3.39275E+01,7.46098E+01,4.57629E+01
7.44759E+01,6.91120E+00,1.13652E+02,,7.44759E+01,7.77350E+00,7.44759E+01,1.25858E+01,7.44759E+01,2.33758E+01,7.44759E+01,3.68243E+01
7.43424E+01,9.53330E+00,1.13342E+02,7.06031E+00,7.43424E+01,9.45210E+00,7.43424E+01,1.46729E+01,7.43424E+01,2.58441E+01,7.43424E+01,3.92359E+01
7.42094E+01,2.68499E+01,1.13033E+02,2.30893E+01,7.42094E+01,2.66051E+01,7.42094E+01,3.24523E+01,7.42094E+01,4.32936E+01,7.42094E+01,5.37367E+01
7.40769E+01,4.34888E+01,1.12726E+02,2.73363E+01,7.40769E+01,4.38015E+01,7.40769E+01,4.84690E+01,7.40769E+01,6.03342E+01,7.40769E+01,7.04338E+01
7.39449E+01,4.50090E+01,1.12420E+02,1.91919E+01,7.39449E+01,4.63685E+01,7.39449E+01,5.05830E+01,7.39449E+01,6.26328E+01,7.39449E+01,7.32162E+01
7.38133E+01,3.21752E+01,1.12116E+02,,7.38133E+01,3.45534E+01,7.38133E+01,3.87402E+01,7.38133E+01,5.14838E+01,7.38133E+01,6.12038E+01
7.36821E+01,1.48651E+01,1.11814E+02,,7.36821E+01,1.75216E+01,7.36821E+01,2.16187E+01,7.36821E+01,3.59219E+01,7.36821E+01,4.34782E+01
7.35515E+01,3.46530E+00,1.11514E+02,,7.35515E+01,5.57170E+00,7.35515E+01,9.50800E+00,7.35515E+01,2.58013E+01,7.35515E+01,3.12969E+01
